occupation_name,url,category,median_pay_hourly,median_pay_annual,entry_level_education,work_experience,on_the_job_training,number_of_jobs,job_outlook,what_they_do,scraped_at
Geographers,https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm,Life Physical And Social Science,$46.73     per hour,"$97,200",Bachelor's degree,None,None,1500,-3% (Decline),"Geographers study the Earth and the distribution of its land, features, and inhabitants. They research the interactions between the physical aspects of a region and the human activities within it. Geographers typically do the following: Geographers use several technologies in their work, such as GIS, remote sensing, and global positioning systems (GPS), to find relationships and trends in geographic data. They then present the data visually as maps, reports, and charts. For example, geographers ",2025-10-01T12:40:50.979147
"Geoscientists, except hydrologists and geographers",https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm,Life Physical And Social Science,$47.71     per hour,"$99,240",Bachelor's degree,None,None,25100,3% (As fast as average),"Geoscientists study the physical aspects of the Earth, such as its composition, structure, and processes, to learn about its past and present and to predict future events. Geoscientists typically do the following: Geoscientists study the Earth’s composition, or layers; its structure, which focuses on the properties of rocks; and its processes, such as erosion and volcanic activity. By analyzing rocks, fossils, and other clues, geoscientists are able to create timelines of events in the Earth’s g",2025-10-01T12:40:51.533125
Glaziers,https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,Construction And Extraction,$26.65     per hour,"$55,440",High school diploma or equivalent,None,Apprenticeship,60500,3% (As fast as average),"Glaziers install glass in windows, skylights, and other fixtures in buildings. Glaziers typically do the following: Glaziers specialize in installing different glass products, such as insulated glass that retains warm or cool air and tempered glass that is less prone to breaking. In homes, glaziers install or replace glass items including windows, mirrors, shower doors, and bathtub enclosures. On commercial projects, glaziers install items such as room dividers, display cases, and security windo",2025-10-01T12:40:52.088092
Graphic designers,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,Arts And Design,$29.47     per hour,"$61,300",Bachelor's degree,None,None,265900,2% (Slower than average),"Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. They develop the overall layout and production design for applications such as advertisements, brochures, magazines, and reports. Graphic designers typically do the following: Graphic designers, also referred to as graphic artists or communication designers, combine art and technology to communicate ideas through images and the layout of websites and p",2025-10-01T12:40:52.639713
Medical dosimetrists,https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm,Healthcare,$66.40     per hour,"$138,110",Bachelor's degree,None,None,4800,3% (As fast as average),"Medical dosimetrists calculate doses of radiation and design and oversee treatment plans for patients with cancer and other serious diseases. Medical dosimetrists typically do the following: Medical dosimetrists develop and manage the radiation plans for patients receiving treatment for cancer or other diseases. They may begin by reviewing patient records, such as computer tomography (CT) and magnetic resonance imaging (MRI) scans. Then, based on a dosage range prescribed by the physician, medic",2025-10-01T12:40:53.196689
Political scientists,https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,Life Physical And Social Science,$67.01     per hour,"$139,380",Master's degree,None,None,6500,-3% (Decline),"Political scientists study the origin, development, and operation of political systems. They may research topics such as public opinion, political decision-making, and ideology. They also may analyze the structure of governments and political entities. Political scientists typically do the following: Political scientists conduct research in many areas, such as national politics, comparative politics, international relations, and political theory. Political scientists gather and analyze informati",2025-10-01T12:40:53.757353
Museum technicians and conservators,https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,Education Training And Library,$27.45     per hour,"$57,100",See How to Become One,None,None,40200,6% (Faster than average),"Archivists appraise, process, catalog, and preserve permanent records and historically valuable documents. Curators oversee collections of artwork and historical items and may conduct public service activities for an institution. Museum technicians and conservators prepare and restore objects and documents in museum collections and exhibits. Archivists typically do the following: Curators, museum technicians, and conservators typically do the following: Archivistspreserve important or historical",2025-10-01T12:40:54.310523
"Roustabouts, oil and gas",https://www.bls.gov/ooh/construction-and-extraction/oil-and-gas-workers.htm,Construction And Extraction,$25.29     per hour,"$52,610",No formal educational credential,See How to Become One,See How to Become One,115900,1% (Slower than average),"Oil and gas workers assemble, operate, and maintain equipment used for oil and gas exploration, extraction, and related activities. Oil and gas workers typically do the following: Oil and gas workers collaborate as a crew to assemble, operate, and maintain drilling equipment and structures. Workers may help move rigs and related structures, which periodically need to be relocated. Oil and gas workers may also help load and unload supplies or equipment on offshore rigs. The specific tasks of oil ",2025-10-01T12:40:54.880067
"Production, planning, and expediting clerks",https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,Office And Administrative Support,$22.17     per hour,"$46,120",High school diploma or equivalent,None,See How to Become One,1300800,-6% (Decline),"Material recording clerks track product information in order to keep businesses and supply chains on schedule. They ensure proper scheduling, recordkeeping, and inventory control. Material recording clerks typically do the following: Material recording clerks use computers or hand-held devices to keep track of inventory. Sensors and tags enable these electronic tools to automatically detect when and where products are moved, allowing clerks to keep updated reports without manually counting items",2025-10-01T12:40:55.442388
Chemical technicians,https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm,Life Physical And Social Science,$27.78     per hour,"$57,790",Associate's degree,None,Moderate-term on-the-job training,57000,4% (As fast as average),"Chemical technicians use laboratory instruments and techniques to help scientists analyze the properties of materials. Chemical technicians typically do the following: Technicians who work in laboratories may help conduct experiments that contribute to research and development. For example, some chemical technicians help chemists and other scientists develop new medicines. Other chemical technicians work in manufacturing, where they may assist in monitoring quality, maintaining equipment, and im",2025-10-01T12:40:55.996368
Anthropologists and archeologists,https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm,Life Physical And Social Science,$31.21     per hour,"$64,910",Master's degree,None,None,8800,4% (As fast as average),"Anthropologists and archeologists study the origin, development, and behavior of humans. They study the culture and characteristics of living or past civilizations throughout the world. Anthropologists and archeologists typically do the following: Anthropologists and archeologists use knowledge from the humanities and sciences to examine human behavior. Anthropologists focus on the ways of life, languages, and other characteristics of people throughout the world. Archaeologists research past cul",2025-10-01T12:40:56.550261
"Educational, guidance, and career counselors and advisors",https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,Community And Social Service,$31.32     per hour,"$65,140",Master's degree,None,None,376300,4% (As fast as average),"School counselors help students develop academic and social skills and plans for after graduation. Career counselors and advisors help students and other clients develop skills, explore an occupation, or choose an educational program that will lead to a career. School counselors typically do the following: The specific duties of school counselors vary with their students' ages. Elementary school counselorsvisit classrooms or meet with students individually or in groups to help them develop their",2025-10-01T12:40:57.111315
Millwrights,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,Installation Maintenance And Repair,$30.53     per hour,"$63,510",High school diploma or equivalent,None,See How to Become One,538300,13% (Much faster than average),"Industrial machinery mechanics and machinery maintenance workers maintain and repair factory equipment and other industrial machinery, such as conveying systems, production machinery, and packaging equipment. Millwrights install, dismantle, repair, reassemble, and move machinery in factories, power plants, and construction sites. Industrial machinery mechanics, machinery maintenance workers, and millwrights typically do the following: Industrial machinery mechanics, also calledmaintenance machin",2025-10-01T12:40:57.684328
Physical therapist assistants,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,Healthcare,$28.87     per hour,"$60,050",See How to Become One,None,See How to Become One,157100,16% (Much faster than average),"Physical therapist assistants, sometimes calledPTAs, and physical therapist aides work under the direction and supervision of physical therapists. They help patients who are recovering from injuries and illnesses to regain movement and manage pain. Physical therapist assistants are involved in the direct care of patients. Physical therapist aides often have tasks that are indirectly related to patient care, such as cleaning and setting up the treatment area, moving patients, and doing clerical d",2025-10-01T12:40:58.235890
"Securities, commodities, and financial services sales agents",https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm,Sales,$37.57     per hour,"$78,140",Bachelor's degree,None,Moderate-term on-the-job training,514500,3% (As fast as average),"Securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. They sell securities to individuals, advise companies in search of investors, and conduct trades. Securities, commodities, and financial services sales agents typically do the following: Securities, commodities, and financial services sales agents deal with a wide range of products and clients. Agents spend much of the day interacting with people, whether selling stock to an individual o",2025-10-01T12:40:58.792666
Project management specialists,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm,Business And Financial,$48.44     per hour,"$100,750",Bachelor's degree,None,None,1046300,6% (Faster than average),"Project management specialists coordinate the budget, schedule, and other details of a project. They lead and guide the work of technical staff. Project management specialists also may serve as a point of contact for the client or customer. Project management specialists typically do the following: Project management specialists may begin a project by defining its scope or goals, using input from the client. They then create a plan that itemizes the individual activities, data, and resources nee",2025-10-01T12:40:59.345250
"Mining and geological engineers, including mining safety engineers",https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,Architecture And Engineering,$48.57     per hour,"$101,020",Bachelor's degree,None,None,7000,1% (Slower than average),"Mining and geological engineers design mines to safely and efficiently remove minerals such as coal and metals for use in manufacturing and utilities. Mining and geological engineers typically do the following: Geological engineerssearch for mineral deposits and evaluate possible sites. Once a site is identified, they plan how the metals or minerals will be extracted in efficient and environmentally sound ways. Mining engineersoften specialize in one particular mineral or metal, such as coal or ",2025-10-01T12:40:59.904506
Industrial engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,Architecture And Engineering,$48.63     per hour,"$101,140",Bachelor's degree,None,None,351100,11% (Much faster than average),"Industrial engineers devise efficient systems that integrate workers, machines, materials, information, and energy to make a product or provide a service. They assess workers, quality control, logistics, and other factors involved in coordinating production. Industrial engineers typically do the following: Industrial engineers focus on efficiency, balancing factors such as time, number of workers needed, and available technology to accomplish goals safely and within budget. They create products ",2025-10-01T12:41:00.475991
Management analysts,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,Business And Financial,$48.65     per hour,"$101,190",Bachelor's degree,Less than 5 years,None,1075100,9% (Much faster than average),"Management analysts, often calledmanagement consultants, recommend ways to improve an organization’s efficiency. They advise managers on how to make organizations more profitable through reduced costs and increased revenues. Management analysts typically do the following: Although some management analysts work for the organization that they analyze, many work as consultants on a contractual basis. The work of management analysts may vary from project to project. Some projects require a team of a",2025-10-01T12:41:01.034301
Ship engineers,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,Transportation And Material Moving,$31.97     per hour,"$66,490",See How to Become One,See How to Become One,See How to Become One,84300,1% (Slower than average),"Water transportation workers operate and maintain vessels that take cargo and people over water. The vessels travel to and from foreign ports across the ocean and to domestic ports along the coasts, across the Great Lakes, and along the country’s many inland waterways. Water transportation workers typically do the following: These workers are employed on a variety of watercraft that facilitate commerce. For example, some work on bulk carriers or large deep-sea container ships that transport good",2025-10-01T12:41:01.593244
Lawyers,https://www.bls.gov/ooh/legal/lawyers.htm,Legal,$72.67     per hour,"$151,160",Doctoral or professional degree,None,None,864800,4% (As fast as average),"Lawyers advise and represent clients on legal proceedings or transactions. Lawyers typically do the following: Lawyers, also calledattorneys, research the intent of laws and judicial decisions and determine whether they apply to the specific circumstances of their client’s case. They act as both advocates and advisors for one party in a criminal (offense against the state or the nation) or civil (matters between individuals or organizations) proceeding. As advocates, they may present evidence an",2025-10-01T12:41:02.158748
Podiatrists,https://www.bls.gov/ooh/healthcare/podiatrists.htm,Healthcare,$73.46     per hour,"$152,800",Doctoral or professional degree,None,Internship/residency,9700,2% (Slower than average),"Podiatrists diagnose illnesses, treat injuries, and perform surgery for people with foot, ankle, and lower leg problems. Podiatrists typically do the following: Podiatrists treat a variety of foot and ankle ailments, including calluses, ingrown toenails, heel spurs, arthritis, and arch problems. They also treat foot and leg problems associated with diabetes, obesity, and other health conditions. Some podiatrists spend most of their time performing surgery, such as foot and ankle reconstruction. ",2025-10-01T12:41:02.722960
Computer hardware engineers,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,Architecture And Engineering,$74.53     per hour,"$155,020",Bachelor's degree,None,None,76800,7% (Much faster than average),"Computer hardware engineers research, design, develop, and test computer systems and components such as processors, circuit boards, memory devices, networks, and routers. Computer hardware engineers typically do the following: Many hardware engineers design devices used in manufactured products that incorporate processors and other computer components and that connect to the Internet. For example, many new cars, home appliances, and medical devices have Internet-ready computer systems built into",2025-10-01T12:41:03.278069
Healthcare social workers,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,Community And Social Service,$29.49     per hour,"$61,330",See How to Become One,None,See How to Become One,810900,6% (Faster than average),"Social workers help individuals, groups, and families prevent and cope with problems in their everyday lives. Clinical social workers diagnose and treat mental, behavioral, and emotional problems. Social workers typically do the following: Social workers help people cope with challenges in their lives. They help with a wide range of situations, such as adopting a child, being diagnosed with a terminal illness, or preventing and treating substance abuse. Some social workers get involved at a broa",2025-10-01T12:41:03.834626
Heavy and tractor-trailer truck drivers,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,Transportation And Material Moving,$27.62     per hour,"$57,440",Postsecondary nondegree award,None,Short-term on-the-job training,2235100,4% (As fast as average),"Heavy and tractor-trailer truck drivers transport goods from one location to another. Most tractor-trailer drivers are long-haul drivers and operate trucks with a total weight exceeding 26,000 pounds for the vehicle, passengers, and cargo. These drivers deliver goods over intercity routes that sometimes span several states. Heavy and tractor-trailer truck drivers typically do the following: Most heavy and tractor-trailer truck drivers’ routes are assigned by a dispatcher, but some independent dr",2025-10-01T12:41:04.391277
Hoist and winch operators,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,Transportation And Material Moving,$22.41     per hour,"$46,620",See How to Become One,See How to Become One,See How to Become One,867700,1% (Slower than average),"Material moving machine operators use equipment to transport objects. For example, some operators move goods around factories and storage areas or onto container ships. Others move construction materials around building sites. Material moving machine operators typically do the following: In warehouses and factories, most material moving machine operators use forklifts and conveyor belts. Wireless sensors and tags keep track of merchandise, allowing operators to locate it faster. Some operators a",2025-10-01T12:41:04.947296
Home health and personal care aides,https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,Healthcare,$16.78     per hour,"$34,900",High school diploma or equivalent,None,Short-term on-the-job training,4347700,17% (Much faster than average),"Home health and personal care aides monitor the condition of people with disabilities or chronic illnesses and help them with daily living activities. They often help older adults who need assistance. Under the direction of a nurse or other healthcare practitioner, home health aides may be allowed to give a client medication or to check the client’s vital signs. Home health and personal care aides typically do the following: Home health aidesmay provide some basic health-related services—such as",2025-10-01T12:41:05.506787
"Hosts and hostesses, restaurant, lounge, and coffee shop",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,Food Preparation And Serving,$14.92     per hour,"$31,040",No formal educational credential,None,Short-term on-the-job training,5030600,5% (Faster than average),"Food and beverage serving and related workers take and prepare orders, clear tables, and do other tasks associated with providing food and drink to customers. Food and beverage serving and related workers typically do the following: Food and beverage serving and related workers are the front line of customer service in restaurants, cafeterias, and other food service establishments. They seat customers, take or prepare food and drink orders, clear and set tables, and serve food and beverages. Dep",2025-10-01T12:41:06.107739
Human resources managers,https://www.bls.gov/ooh/management/human-resources-managers.htm,Management,$67.32     per hour,"$140,030",Bachelor's degree,5 years or more,None,221900,5% (Faster than average),"Human resources managers plan, coordinate, and direct the administrative functions of an organization. They oversee the recruiting, interviewing, and hiring of new staff; consult with top executives on strategic planning; and serve as a link between an organization’s management and its employees. Human resources managers typically do the following: Organizations want to attract, motivate, and keep qualified employees and match them to jobs for which they are well-suited. Human resources managers",2025-10-01T12:41:06.666591
Security guards,https://www.bls.gov/ooh/protective-service/security-guards.htm,Protective Service,$18.46     per hour,"$38,390",High school diploma or equivalent,See How to Become One,See How to Become One,1272400,0% (Little or no change),"Security guards and gambling surveillance officers protect property against theft, vandalism, and other illegal activity. Security guards and gaming surveillance officers typically do the following: Guards and officers must stay alert, watching for anything unusual. In an emergency, they are required to contact police, fire, or ambulance services. Some security guards carry firearms. Security guards work wherever people and assets need to be protected. Responsibilities vary by employer. In offic",2025-10-01T12:41:07.228308
"Coating, painting, and spraying machine setters, operators, and tenders",https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,Production,$22.79     per hour,"$47,390",See How to Become One,None,Moderate-term on-the-job training,174300,1% (Slower than average),"Painting and coating workers apply finishes, often using machines, to products such as cars, jewelry, and ceramics. Painting and coating workers typically do the following: Painting and coating workers apply paint, varnish, rustproofing, or other types of liquid treatments to finish and protect products. They often use machines to spread the liquid over large surfaces but may use handtools on small items or hard-to-reach surfaces. Before workers apply the paint or other coating, they prepare the",2025-10-01T12:41:07.785838
"Electronic equipment installers and repairers, motor vehicles",https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,Installation Maintenance And Repair,$34.26     per hour,"$71,270",See How to Become One,See How to Become One,See How to Become One,118800,0% (Little or no change),"Electrical and electronics installers and repairers install or repair a variety of electrical equipment in transportation, utilities, and other industries. Electrical and electronics installers and repairers typically do the following: Modern manufacturing plants and transportation systems use a large amount of electrical and electronics equipment, from assembly line motors to sonar systems. Electrical and electronics installers and repairers fix and maintain these complex pieces of equipment. B",2025-10-01T12:41:08.347739
Exercise physiologists,https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,Healthcare,$27.96     per hour,"$58,160",Bachelor's degree,None,None,23900,9% (Much faster than average),"Exercise physiologists develop physical activity programs to help people improve components of their fitness, such as cardiovascular function, muscular strength, or flexibility. Exercise physiologists typically do the following: Exercise physiologists work to improve people’s overall health. Many of their clients have chronic medical conditions, such as pulmonary (lung) disease. Exercise physiologists provide health education and exercise plans to help clients improve their respiratory, circulat",2025-10-01T12:41:08.906468
Water and wastewater treatment plant and system operators,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm,Production,$28.01     per hour,"$58,260",High school diploma or equivalent,None,Long-term on-the-job training,132400,-7% (Decline),"Water and wastewater treatment plant and system operators manage a system of machines, often through the use of computerized systems, to transfer or treat water or wastewater. Water and wastewater treatment plant and system operators typically do the following: It takes many steps to get water from natural sources—reservoirs, streams, and groundwater—into people’s houses. Similarly, it is a complicated process to convert the wastewater from drains and sewers into a form that is safe to release i",2025-10-01T12:41:09.461700
Training and development specialists,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,Business And Financial,$31.66     per hour,"$65,850",Bachelor's degree,Less than 5 years,None,452300,11% (Much faster than average),"Training and development specialists plan and administer programs that train employees and improve their skills and knowledge. Training and development specialists typically do the following: Training and development specialists help create, plan, and run training programs for businesses and organizations. To do this, they must first assess the needs of an organization. They then develop custom training programs that may take place online, in classrooms, or in training facilities. Training and d",2025-10-01T12:41:10.028031
Set and exhibit designers,https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm,Arts And Design,$31.87     per hour,"$66,280",Bachelor's degree,None,None,31300,2% (Slower than average),"Set and exhibit designers develop visual and tactile spaces for entertainment productions or for a variety of displays. Set designers work on movies, television, theater, and other productions. Exhibit designers create spaces to showcase products, art, artifacts, or other displays. Set and exhibit designers typically do the following: Set and exhibit designers create spaces that communicate a message to an audience. They may analyze scripts or other research documents to determine how these spac",2025-10-01T12:41:10.582276
Orthotists and prosthetists,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,Healthcare,$37.65     per hour,"$78,310",Master's degree,None,Internship/residency,10100,13% (Much faster than average),"Orthotists and prosthetists measure, design, fit, and adapt musculoskeletal devices for patients who have disabling conditions. These devices include artificial limbs and orthopedic braces. Orthotists and prosthetists typically do the following: These workers may specialize in either orthotics or prosthetics, or they may do both. Orthotists work with patients who need medical devices, such as braces and splints, that provide support to a body part. Prosthetists work with patients who need artifi",2025-10-01T12:41:11.140417
Cartographers and photogrammetrists,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,Architecture And Engineering,$37.68     per hour,"$78,380",Bachelor's degree,None,None,13400,6% (Faster than average),"Cartographers and photogrammetrists collect, analyze, and interpret geographic information to create and update maps and related products. Cartographers and photogrammetrists typically do the following: Cartographers and photogrammetrists are mapmakers. They use information from a variety of sources to create visualizations of the world on a small scale. Cartographers and photogrammetrists gather and analyze spatial measurements, images, and data about the Earth’s topography to build maps. They ",2025-10-01T12:41:11.733144
Orderlies,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,Healthcare,$18.96     per hour,"$39,430",See How to Become One,None,See How to Become One,1495400,2% (Slower than average),"Nursing assistants, sometimes callednursing aides, provide basic care and help patients with activities of daily living. Orderlies transport patients and clean treatment areas. Nursing assistants and orderlies work as part of a healthcare team under the supervision oflicensed practical or licensed vocational nursesandregistered nurses. Nursing assistants provide basic care and help with activities of daily living. They typically do the following: Depending on their training level and the state i",2025-10-01T12:41:12.293656
"Coil winders, tapers, and finishers",https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,Production,$20.95     per hour,"$43,570",High school diploma or equivalent,None,Moderate-term on-the-job training,1885400,-1% (Decline),"Assemblers and fabricators build finished products and the parts that go into them. They use handtools and machines to make vehicles, toys, electronic devices, and more. Assemblers and fabricators typically do the following: Assemblers and fabricators need a range of knowledge and skills. For example, assemblers putting together complex machines must be able to read detailed schematics. After determining how parts should connect, they use handtools or power tools to trim, cut, and make other adj",2025-10-01T12:41:12.850375
Automotive glass installers and repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,Installation Maintenance And Repair,$24.36     per hour,"$50,680",High school diploma or equivalent,None,See How to Become One,193000,2% (Slower than average),"Automotive body and glass repairers restore, refinish, and replace vehicle bodies and frames, windshields, and window glass. Automotive body repairers typically do the following: Automotive glass installers and repairers typically do the following: Automotive body and glass repairers can repair most damage from vehicle collisions and make vehicles look and drive like new. Repairs may be minor, such as replacing a cracked windshield, or major, such as replacing an entire door panel. After a major",2025-10-01T12:41:13.417183
Dental assistants,https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Healthcare,$22.74     per hour,"$47,300",Postsecondary nondegree award,None,None,381900,6% (Faster than average),"Dental assistants have many tasks, including patient care, recordkeeping, and appointment scheduling. Their duties vary by state and by the dentists’ offices in which they work. Dental assistants typically do the following: Dental assistants often spend much of their day working closely with patients anddentists. For example, dental assistants might take a patient’s medical history, blood pressure, and pulse before a procedure; explain what will be done; and talk to patients about oral care. The",2025-10-01T12:41:13.972519
Marketing managers,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,Management,$76.76     per hour,"$159,660",Bachelor's degree,See How to Become One,None,434000,6% (Faster than average),"Advertising, promotions, and marketing managers plan programs to generate interest in products or services. They work withart directors,advertising sales agents, financial staff, and others to develop strategies and materials. Advertising, promotions, and marketing managers typically do the following: Advertising managerscreate interest among potential buyers of a product or service. They do this for a department, an entire organization, or individual projects (referred to as an account). Advert",2025-10-01T12:41:14.542436
Financial managers,https://www.bls.gov/ooh/management/financial-managers.htm,Management,$77.74     per hour,"$161,700",Bachelor's degree,5 years or more,None,868600,15% (Much faster than average),"Financial managers are responsible for the financial health of an organization. They create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization. Financial managers typically do the following: Financial managers spend much of their time analyzing data and advising senior managers on ways to maximize profits. They often work on teams, acting as advisors totop executives. Financial managers must have knowledge of the topics, tax",2025-10-01T12:41:15.098065
Physicists,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,Life Physical And Social Science,$79.95     per hour,"$166,290",Doctoral or professional degree,None,None,26400,4% (As fast as average),"Physicists and astronomers study the interactions of matter and energy. Theoretical physicists and astronomers may study the nature of time or the origin of the universe. Some physicists design and perform experiments with sophisticated equipment such as particle accelerators, electron microscopes, and lasers. Physicists and astronomers typically do the following: Physicists explore the fundamental properties and laws that govern space, time, energy, and matter. They may study theory, design and",2025-10-01T12:41:15.663776
Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,Management,$58.39     per hour,"$121,440",Bachelor's degree,5 years or more,None,241900,2% (Slower than average),"Industrial production managers oversee the operations of manufacturing and related plants. They coordinate, plan, and direct activities involved in creating a range of goods, such as cars, computer equipment, and paper products. Industrial production managers typically do the following: Industrial production managers, also calledplant managers, may oversee an entire manufacturing plant or a specific area of production. Some industrial production managers are responsible for carrying out quality ",2025-10-01T12:41:16.225238
Industrial-organizational psychologists,https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,Life Physical And Social Science,$45.34     per hour,"$94,310",See How to Become One,None,Internship/residency,204300,6% (Faster than average),"Psychologists study cognitive, emotional, and social processes and behavior by observing, interpreting, and recording how people relate to one another and to their environments. They use their findings to help improve processes and behaviors. Psychologists typically do the following: Psychologists seek to understand and explain thoughts, emotions, and behavior. Through techniques such as observation, assessment, and experimentation, they try to gain a better understanding about how beliefs and f",2025-10-01T12:41:16.807139
Information security analysts,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,Computer And Information Technology,$60.05     per hour,"$124,910",Bachelor's degree,Less than 5 years,None,182800,29% (Much faster than average),"Information security analysts plan and carry out security measures to protect an organization’s computer networks and systems. Information security analysts typically do the following: Information security analysts are heavily involved with creating their organization’s disaster recovery plan, a procedure that IT employees follow in case of emergency. These plans allow for the continued operation of an organization’s IT department. The recovery plan includes preventive measures such as regularly",2025-10-01T12:41:17.384406
"Inspectors, testers, sorters, samplers, and weighers",https://www.bls.gov/ooh/production/quality-control-inspectors.htm,Production,$22.82     per hour,"$47,460",High school diploma or equivalent,None,Moderate-term on-the-job training,598000,0% (Little or no change),"Quality control inspectors examine products and materials for defects or deviations from specifications. Quality control inspectors typically do the following: Quality control inspectors, also called testers, sorters, samplers, and weighers, monitor nearly all manufactured products to ensure that they meet specified standards. Job duties vary across the manufacturing industries in which most of these inspectors work, which include foods, glassware, motor vehicles, electronic components, and stru",2025-10-01T12:41:17.958136
"Insulation workers, floor, ceiling, and wall",https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,Construction And Extraction,$24.39     per hour,"$50,730",See How to Become One,None,See How to Become One,67400,4% (As fast as average),"Insulation workers, also calledinsulators, install and replace the materials used to insulate buildings or mechanical systems. Insulators typically do the following: Insulators install and replace the material that saves energy and helps reduce noise in buildings and around vats, vessels, boilers, steam pipes, and water pipes. Insulators also install fire-stopping materials to prevent the spread of a fire and smoke throughout a building. Insulators often must remove old insulation when renovatin",2025-10-01T12:41:18.513705
Insurance underwriters,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,Business And Financial,$38.40     per hour,"$79,880",Bachelor's degree,None,Moderate-term on-the-job training,127000,-3% (Decline),"Insurance underwriters evaluate insurance applications and decide whether to approve them. For approved applications, underwriters determine coverage amounts and premiums. Insurance underwriters typically do the following: Underwriters are the main link between an insurance company and aninsurance sales agent. Insurance underwriters use computer software to analyze risk for determining whether to approve an applicant. They take specific information about an applicant and enter it into a program.",2025-10-01T12:41:19.074495
Interior designers,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,Arts And Design,$30.52     per hour,"$63,490",Bachelor's degree,None,None,87100,3% (As fast as average),"Interior designers make indoor spaces functional, safe, and beautiful by determining space requirements and selecting essential and decorative items, such as colors, lighting, and materials. They must be able to draw, read, and edit blueprints. They also must be aware of building codes, inspection regulations, and other considerations, such as accessibility standards. Interior designers typically do the following: Interior designers work closely witharchitects,civil engineers,mechanical engineer",2025-10-01T12:41:19.649126
Jewelers and precious stone and metal workers,https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm,Production,$23.63     per hour,"$49,140",High school diploma or equivalent,None,Long-term on-the-job training,35100,-5% (Decline),"Jewelers and precious stone and metal workers design, construct, adjust, repair, appraise and sell jewelry and related products. Jewelers and precious stone and metal workers typically do the following: Jewelers and precious stone and metal workers use a variety of tools in their work. For example, they may use lasers to cut and improve the quality of stones, to engrave or inscribe personal messages on jewelry, or to weld metals together without seams. They also may use computer-aided design and",2025-10-01T12:41:20.212132
