occupation_name,url,category,median_pay_hourly,median_pay_annual,entry_level_education,work_experience,on_the_job_training,number_of_jobs,job_outlook,what_they_do,scraped_at
Writers and authors,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Media And Communication,$34.75     per hour,"$72,270",Bachelor's degree,None,Long-term on-the-job training,135400,4% (As fast as average),"Writers and authors develop content for various types of media, including advertisements; blogs; books; magazines; and movie, play, and television scripts. Writers and authors typically do the following: Writers must establish their credibility witheditorsand readers through clean prose, strong research, and the use of sources and citations. Writers and authors select the material they want to use and then convey the information to readers. With help from editors, they may revise or rewrite sect",2025-10-01T12:40:18.842830
Shuttle drivers and chauffeurs,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,Transportation And Material Moving,$17.62     per hour,"$36,660",No formal educational credential,None,Short-term on-the-job training,447900,9% (Much faster than average),"Taxi drivers (including ride-hailing drivers), shuttle drivers, and chauffeurs drive people to and from the places they need to go, such as homes, workplaces, airports, and shopping centers. Taxi drivers, shuttle drivers, and chauffeurs typically do the following: Taxi drivers, shuttle drivers, and chauffeurs must stay alert and watch the conditions of the road. They take precautions to ensure their passengers’ safety, especially in heavy traffic or bad weather. Taxi drivers and chauffeurs also ",2025-10-01T12:40:19.398517
"Cooks, restaurant",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,Food Preparation And Serving,$17.19     per hour,"$35,760",See How to Become One,See How to Become One,See How to Become One,2805100,5% (Faster than average),"Cooks season and prepare foods, including soups, salads, entrees, and desserts. Cooks typically do the following: Cooks usually work under the direction ofchefs,head cooks, orfood service managers. Large restaurants and food service establishments often have multiple menus and large kitchen staffs. Teams of restaurant cooks, sometimes calledassistant cooksorline cooks, work at assigned stations equipped with the stoves, grills, pans, and ingredients they need to prepare food. Job titles often re",2025-10-01T12:40:19.967583
Gambling cage workers,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,Office And Administrative Support,$23.39     per hour,"$48,650",High school diploma or equivalent,None,See How to Become One,1193000,-5% (Decline),"Financial clerks do administrative work for many types of organizations. They keep records, help customers, and carry out transactions that involve money. Financial clerks typically do the following: Financial clerks’ job duties vary by specialty and by setting. The following are examples of types of financial clerks: Billing and posting clerkscalculate charges and generate bills, which they then prepare to send to customers. They review documents such as purchase orders, sales tickets, charge s",2025-10-01T12:40:20.531960
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,Construction And Extraction,$22.14     per hour,"$46,050",See How to Become One,None,Short-term on-the-job training,1649100,7% (Much faster than average),"Construction laborers and helpers perform tasks, such as using, supplying, or holding materials or tools and cleaning work areas and equipment, on construction sites. Construction laborers and helpers typically do the following: Construction laborers and helpers work on almost all construction sites, performing a range of tasks that may vary in complexity. Construction laborers, also referred to asconstruction craft laborers, are involved in a variety of activities during all phases of construct",2025-10-01T12:40:21.097434
"Opticians, dispensing",https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm,Healthcare,$22.38     per hour,"$46,560",High school diploma or equivalent,None,Long-term on-the-job training,79900,3% (As fast as average),"Opticians fit customers for eyeglasses and contact lenses and help them select which frames and lenses to buy. Opticians typically do the following: Opticians review prescriptions that customers receive fromoptometristsandophthalmologists. These prescriptions have information about the eyeglasses and contact lenses customers need. Opticians also help customers select eyewear based on the customer’s prescription, lifestyle, and other factors. The optician measures the customer’s face and head usi",2025-10-01T12:40:21.697365
Log graders and scalers,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,Farming Fishing And Forestry,$23.82     per hour,"$49,540",High school diploma or equivalent,None,Moderate-term on-the-job training,44300,-2% (Decline),"Some logging workers harvest trees using handheld equipment or large machinery. Others inspect, grade, or estimate the market value of harvested trees, which provide the raw material for consumer and industrial products. Logging workers typically do the following: Logging crews cut down trees and prepare them for transportation and eventual commercial use. The following are examples of types of logging workers: Fallerscut down trees with hand-held power chain saws. They assess where they want a ",2025-10-01T12:40:22.276106
Agricultural technicians,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,Life Physical And Social Science,$23.31     per hour,"$48,480",Associate's degree,None,Moderate-term on-the-job training,38900,5% (Faster than average),"Agricultural and food science technicians helpagricultural and food scientistswith testing and research related to plants, animals, fibers, and food and beverage products. Specific duties of these technicians vary with their specialty. Agricultural science technicians typically do the following: Food science technicians typically do the following: Agricultural and food science technicians often specialize by subject area, such as animal health, farm machinery, fertilizers, agricultural chemicals",2025-10-01T12:40:22.845027
Machinists,https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm,Production,$27.74     per hour,"$57,700",See How to Become One,None,Long-term on-the-job training,354800,-2% (Decline),"Machinists and tool and die makers set up and operate a variety of computer-controlled and mechanically controlled equipment to produce precision metal parts, instruments, and tools. Machinists typically do the following: Tool and die makers typically do the following: Machinistsuse lathes, milling machines, grinders, and other machine tools to produce precision metal parts. Many machinists must be able to use both manual and CNC machinery. CNC machines control the cutting tool speed and do all ",2025-10-01T12:40:23.409412
"Education and childcare administrators, preschool and daycare",https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,Management,$27.05     per hour,"$56,270",Bachelor's degree,Less than 5 years,None,90200,-3% (Decline),"Preschool and childcare center directors supervise and lead staffs, design program plans, oversee daily activities, and prepare budgets. They are responsible for all aspects of their center’s program, which may include before- and after-school care. Preschool and childcare center directors typically do the following: Some preschools and childcare centers are independently owned and operated. In these facilities, directors must follow the instructions and guidelines of the owner. Sometimes, the d",2025-10-01T12:40:23.954724
